state_fips,county_fips,Pop,Year
1,1,40251,1996
1,1,41293,1997
1,1,42193,1998
1,1,43140,1999
1,3,124261,1996
1,3,128770,1997
1,3,132857,1998
1,3,135820,1999
1,5,26866,1996
1,5,26747,1997
1,5,26936,1998
1,5,26726,1999
1,7,18256,1996
1,7,18639,1997
1,7,18987,1998
1,7,19601,1999
1,9,43544,1996
1,9,44897,1997
1,9,46292,1998
1,9,47411,1999
1,11,11307,1996
1,11,11310,1997
1,11,11325,1998
1,11,11343,1999
1,13,21801,1996
1,13,21769,1997
1,13,21658,1998
1,13,21522,1999
1,15,116577,1996
1,15,117132,1997
1,15,117083,1998
1,15,116541,1999
1,17,36857,1996
1,17,36640,1997
1,17,36706,1998
1,17,36369,1999
1,19,21281,1996
1,19,21601,1997
1,19,21827,1998
1,19,21894,1999
1,21,35631,1996
1,21,36310,1997
1,21,36926,1998
1,21,37604,1999
1,23,15989,1996
1,23,15883,1997
1,23,15829,1998
1,23,15518,1999
1,25,28077,1996
1,25,28606,1997
1,25,28531,1998
1,25,28756,1999
1,27,13633,1996
1,27,13841,1997
1,27,13966,1998
1,27,14012,1999
1,29,13521,1996
1,29,14090,1997
1,29,14283,1998
1,29,14456,1999
1,31,42124,1996
1,31,42041,1997
1,31,42222,1998
1,31,42128,1999
1,33,52630,1996
1,33,53094,1997
1,33,52924,1998
1,33,52552,1999
1,35,14176,1996
1,35,14032,1997
1,35,13863,1998
1,35,13728,1999
1,37,11551,1996
1,37,11585,1997
1,37,11637,1998
1,37,11712,1999
1,39,37414,1996
1,39,37432,1997
1,39,37461,1998
1,39,37587,1999
1,41,13580,1996
1,41,13694,1997
1,41,13626,1998
1,41,13619,1999
1,43,73409,1996
1,43,74086,1997
1,43,74944,1998
1,43,75661,1999
1,45,49453,1996
1,45,49101,1997
1,45,48916,1998
1,45,49127,1999
1,47,47350,1996
1,47,47109,1997
1,47,46803,1998
1,47,46669,1999
1,49,57374,1996
1,49,57653,1997
1,49,58274,1998
1,49,58948,1999
1,51,58573,1996
1,51,60340,1997
1,51,61985,1998
1,51,63488,1999
1,53,36388,1996
1,53,36622,1997
1,53,36732,1998
1,53,36671,1999
1,55,102757,1996
1,55,103758,1997
1,55,103923,1998
1,55,103472,1999
1,57,18061,1996
1,57,18110,1997
1,57,18096,1998
1,57,18103,1999
1,59,29402,1996
1,59,29606,1997
1,59,29684,1998
1,59,29716,1999
1,61,24753,1996
1,61,24845,1997
1,61,24875,1998
1,61,24968,1999
1,63,9971,1996
1,63,9931,1997
1,63,9843,1998
1,63,9756,1999
1,65,16358,1996
1,65,16442,1997
1,65,16750,1998
1,65,16870,1999
1,67,15570,1996
1,67,15699,1997
