"year","event_id","state","month","event","injuries","deaths","damage","damage_num","damage_mod","begin_loc","end_loc","begin_lat","begin_lon","end_lat","end_lon","county","state_fips","county_fips","damage_cpi","CPI","cpi_adj"
1996,5542309,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Pocahontas",54,75,8087.5,100,1.6175
1996,5542288,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Raleigh",54,81,8087.5,100,1.6175
1996,5542736,"West Virginia","January","Flood",0,0,"4M",4,"M","","",NA,NA,NA,NA,"Greenbrier",54,45,6470000,100,1.6175
1996,5542737,"West Virginia","January","Flash Flood",0,0,".15M",0.15,"M","Countywide","Countywide",NA,NA,NA,NA,"Mercer",54,55,242625,100,1.6175
1996,5541257,"West Virginia","February","Flash Flood",0,0,"5K",5,"K","Triadelphia","Triadelphia",NA,NA,NA,NA,"Ohio",54,69,8087.5,100,1.6175
1996,5569765,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Kenton",21,92,32350,100,1.6175
1996,5569763,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Gallatin",21,90,32350,100,1.6175
1996,5569764,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Boone",21,91,32350,100,1.6175
1996,5537257,"North Carolina","January","Flood",0,0,"30K",30,"K","","",NA,NA,NA,NA,"Buncombe",37,53,48525,100,1.6175
1996,5536004,"Georgia","January","Flash Flood",0,0,"20K",20,"K","Countywide","Countywide",NA,NA,NA,NA,"Gilmer",13,123,32350,100,1.6175
1996,5536006,"Georgia","January","Flash Flood",0,0,"20K",20,"K","Helen","Helen",NA,NA,NA,NA,"White",13,311,32350,100,1.6175
1996,5536001,"Georgia","January","Flash Flood",0,0,"30K",30,"K","Countywide","Countywide",NA,NA,NA,NA,"Fannin",13,111,48525,100,1.6175
1996,5542308,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Wood",54,107,8087.5,100,1.6175
1996,5542285,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Doddridge",54,17,8087.5,100,1.6175
1996,5542306,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Harrison",54,33,8087.5,100,1.6175
1996,5569766,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Campbell",21,93,32350,100,1.6175
1996,5569767,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Pendleton",21,96,32350,100,1.6175
1996,5541813,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Greenup",21,101,32350,100,1.6175
1996,5569768,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Bracken",21,97,32350,100,1.6175
1996,5542080,"West Virginia","January","Flash Flood",0,0,"20K",20,"K","Countywide","Countywide",NA,NA,NA,NA,"Kanawha",54,39,32350,100,1.6175
1996,5542085,"West Virginia","January","Flash Flood",0,0,".15M",0.15,"M","Countywide","Countywide",NA,NA,NA,NA,"Randolph",54,83,242625,100,1.6175
1996,5541814,"Kentucky","January","Flood",0,0,"20K",20,"K","","",NA,NA,NA,NA,"Boyd",21,103,32350,100,1.6175
1996,5542286,"West Virginia","January","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Tyler",54,95,8087.5,100,1.6175
